run_id,run_name,config_name,mode,oom,vocab_size,embd_dim,num_heads,num_layers,seq_len,batch_size,head_dim,total_params,total_steps,elapsed_seconds,loss_min,loss_max,loss_avg,gpu_utilization_pct_min,gpu_utilization_pct_max,gpu_utilization_pct_avg,gpu_memory_access_time_pct_min,gpu_memory_access_time_pct_max,gpu_memory_access_time_pct_avg,gpu_memory_allocated_bytes_min,gpu_memory_allocated_bytes_max,gpu_memory_allocated_bytes_avg,gpu_memory_allocated_pct_min,gpu_memory_allocated_pct_max,gpu_memory_allocated_pct_avg,gpu_temperature_c_min,gpu_temperature_c_max,gpu_temperature_c_avg,gpu_power_usage_w_min,gpu_power_usage_w_max,gpu_power_usage_w_avg,gpu_enforced_power_limit_w_min,gpu_enforced_power_limit_w_max,gpu_enforced_power_limit_w_avg,gpu_power_usage_pct_min,gpu_power_usage_pct_max,gpu_power_usage_pct_avg,gpu_sm_clock_mhz_min,gpu_sm_clock_mhz_max,gpu_sm_clock_mhz_avg,gpu_memory_clock_mhz_min,gpu_memory_clock_mhz_max,gpu_memory_clock_mhz_avg,gpu_uncorrected_memory_errors_min,gpu_uncorrected_memory_errors_max,gpu_uncorrected_memory_errors_avg,gpu_corrected_memory_errors_min,gpu_corrected_memory_errors_max,gpu_corrected_memory_errors_avg,network_recv_bytes_min,network_recv_bytes_max,network_recv_bytes_avg,network_sent_bytes_min,network_sent_bytes_max,network_sent_bytes_avg,disk_read_mb_min,disk_read_mb_max,disk_read_mb_avg,disk_write_mb_min,disk_write_mb_max,disk_write_mb_avg,disk_used_gb_min,disk_used_gb_max,disk_used_gb_avg,disk_used_pct_min,disk_used_pct_max,disk_used_pct_avg,process_cpu_threads_min,process_cpu_threads_max,process_cpu_threads_avg,process_cpu_pct_min,process_cpu_pct_max,process_cpu_pct_avg,process_memory_used_mb_min,process_memory_used_mb_max,process_memory_used_mb_avg,process_memory_used_pct_min,process_memory_used_pct_max,process_memory_used_pct_avg,process_memory_available_mb_min,process_memory_available_mb_max,process_memory_available_mb_avg,system_memory_utilization_pct_min,system_memory_utilization_pct_max,system_memory_utilization_pct_avg
1,run_001_train,v32k_d512_h8_l24_s4096_b2,train,0,32768,512,8,24,4096,2,64,92140032,1679,301.8,2.0312,11.0,4.587,88,99,97.6744,27,55,41.062,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,53,58,55.4806,157.94,426.21,274.7119,400.0,400.0,400.0,39.48,106.55,68.6778,1380,1410,1408.8372,1215,1215,1215.0,0,0,0.0,0,0,0.0,4002327019987,4003277494967,4002813018920.7246,1316557014394,1316601051665,1316579479128.628,1414.143,1414.143,1414.143,491858.457,491858.57,491858.5109,124.095,124.095,124.095,44.3,44.3,44.3,87,87,87.0,0.0,0.0,0.0,1731.54,1818.5,1777.1598,0.3356,0.3525,0.3445,492038.5,493868.23,493078.1285,4.3,4.6,4.4229
2,run_002_train,v8k_d1024_h16_l12_s4096_b2,train,0,8192,1024,16,12,4096,2,64,159126528,1627,301.6,1.2266,5.7188,3.9764,60,99,97.1457,26,55,40.9016,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,50,54,51.8583,84.24,425.18,268.1227,400.0,400.0,400.0,21.06,106.3,67.0306,1395,1410,1409.5866,1215,1215,1215.0,0,0,0.0,0,0,0.0,4003421328384,4004276532055,4003858989299.8857,1316606771638,1316648953211,1316627937879.2402,1414.143,1414.143,1414.143,491858.57,491858.57,491858.57,124.095,124.095,124.095,44.3,44.3,44.3,88,88,88.0,0.0,0.0,0.0,1937.45,2009.72,1992.4048,0.3755,0.3896,0.3862,491617.25,492581.29,492277.006,4.5,4.7,4.5878
3,run_003_train,v32k_d1024_h8_l6_s4096_b4,train,0,32768,1024,8,6,4096,4,128,108923904,1315,302.71,1.9609,6.2812,3.9542,85,99,97.2727,27,55,40.6901,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,51,57,54.1529,148.99,437.78,273.5436,400.0,400.0,400.0,37.25,109.45,68.3857,1380,1410,1408.8843,1215,1215,1215.0,0,0,0.0,0,0,0.0,4004436180536,4005491548591,4004982645684.409,1316655359551,1316703098209,1316679916727.1199,1414.143,1414.143,1414.143,491858.57,491858.633,491858.597,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2133.23,2193.55,2162.56,0.4135,0.4252,0.4192,491173.44,492074.89,491781.1117,4.6,4.8,4.6851
4,run_004_train,v16k_d1024_h8_l12_s4096_b2,train,0,16384,1024,8,12,4096,2,128,167515136,1599,302.77,1.4609,6.375,4.1285,81,99,97.2209,25,55,40.6747,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,49,57,52.6265,146.04,432.64,274.6769,400.0,400.0,400.0,36.51,108.16,68.6694,1395,1410,1408.5542,1215,1215,1215.0,0,0,0.0,0,0,0.0,4005636427699,4006700747405,4006158410980.6304,1316709533199,1316758975182,1316733905600.2732,1414.143,1414.143,1414.143,491858.633,491858.746,491858.692,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2715.95,2755.32,2726.1449,0.5265,0.5341,0.5284,490360.27,491252.2,490964.625,4.8,5.0,4.8253
5,run_005_train,v32k_d1024_h8_l24_s4096_b2,train,0,32768,1024,8,24,4096,2,128,335029248,815,302.85,2.7344,7.25,4.8536,82,99,96.2305,26,54,32.875,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,51,60,56.6328,147.51,440.54,291.8667,400.0,400.0,400.0,36.88,110.14,72.9666,1395,1410,1406.543,1215,1215,1215.0,0,0,0.0,0,0,0.0,4006851300838,4007921045843,4007351695122.422,1316765595834,1316812646695,1316788082043.6484,1414.143,1414.143,1414.143,491858.746,491859.102,491858.9255,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2204.54,2721.32,2436.1325,0.4273,0.5275,0.4722,490300.37,491467.45,491077.4273,4.7,5.0,4.8109
6,run_006_train,v16k_d512_h16_l12_s1024_b2,train,0,16384,512,16,12,1024,2,32,46070272,8141,302.72,1.0781,6.0625,3.5825,48,99,96.4906,16,55,31.8566,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,52,60,55.0679,163.67,439.67,295.3867,400.0,400.0,400.0,40.92,109.92,73.8466,1380,1410,1406.0943,1215,1215,1215.0,0,0,0.0,0,0,0.0,4008090346448,4009119880627,4008609100183.8794,1316819425917,1316866321356,1316842664057.7095,1414.143,1414.143,1414.143,491859.102,491859.102,491859.102,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2190.42,2426.92,2352.3123,0.4246,0.4704,0.456,490096.44,491147.16,490867.0891,4.8,5.0,4.84
7,run_007_train,v8k_d2048_h8_l6_s1024_b2,train,0,8192,2048,8,6,1024,2,256,318265344,3678,301.89,2.3125,6.5,4.2241,68,99,97.6489,23,55,41.4618,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,51,56,54.126,151.06,446.88,276.0097,400.0,400.0,400.0,37.77,111.72,69.0024,1380,1410,1408.7405,1215,1215,1215.0,0,0,0.0,0,0,0.0,4009301686686,4010193348886,4009760165358.836,1316872987190,1316915877262,1316894601388.3894,1414.143,1414.143,1414.143,491859.102,491859.215,491859.1667,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2240.78,2755.76,2745.8748,0.4343,0.5342,0.5323,489414.2,490868.69,490298.3329,4.9,5.1,4.9573
8,run_008_train,v8k_d512_h8_l24_s4096_b2,train,0,8192,512,8,24,4096,2,64,79557120,1765,302.74,2.0781,6.1875,4.4285,82,99,97.5826,25,55,40.9669,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,50,57,54.7603,128.33,431.08,274.0145,400.0,400.0,400.0,32.08,107.77,68.5035,1395,1410,1408.8843,1215,1215,1215.0,0,0,0.0,0,0,0.0,4010354851800,4011392393223,4010855943203.087,1316922292182,1316969320668,1316945288419.467,1414.143,1414.143,1414.143,491859.215,491859.215,491859.215,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2590.39,2620.87,2606.3301,0.5021,0.508,0.5052,489557.19,490510.36,490237.803,4.9,5.1,4.9736
9,run_009_train,v32k_d1024_h16_l24_s1024_b2,train,0,32768,1024,16,24,1024,2,64,335029248,2690,302.12,1.8359,9.75,4.3861,81,99,97.4414,25,55,41.0469,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,49,56,53.0898,161.32,437.33,265.2759,400.0,400.0,400.0,40.33,109.33,66.3191,1395,1410,1408.9453,1215,1215,1215.0,0,0,0.0,0,0,0.0,4011531753230,4012435544936,4011950463634.824,1316974792988,1317017648505,1316995586883.039,1414.143,1414.143,1414.143,491859.215,491859.262,491859.2435,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2197.35,2735.07,2424.4681,0.4259,0.5302,0.4699,488537.2,490645.27,490288.9436,4.9,5.3,4.959
10,run_010_train,v32k_d512_h8_l24_s2048_b4,train,0,32768,512,8,24,2048,4,64,92140032,1769,302.0,2.0156,6.5938,4.5142,82,99,97.4583,26,55,41.4208,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,49,58,54.4208,153.84,424.91,276.4918,400.0,400.0,400.0,38.46,106.23,69.123,1395,1410,1408.9375,1215,1215,1215.0,0,0,0.0,0,0,0.0,4012612322640,4013679478601,4013148133698.4624,1317024684190,1317072753506,1317049201835.671,1414.143,1414.143,1414.143,491859.262,491859.375,491859.3324,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2291.55,2690.6,2629.3625,0.4442,0.5215,0.5097,489313.52,490554.77,490059.2879,4.9,5.2,5.0133
11,run_011_train,v32k_d1024_h16_l24_s1024_b4,train,0,32768,1024,16,24,1024,4,64,335029248,1565,303.14,2.375,8.875,4.5469,81,99,97.1551,24,55,41.151,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,49,56,53.4816,123.63,434.29,274.1193,400.0,400.0,400.0,30.91,108.57,68.5297,1380,1410,1408.9592,1215,1215,1215.0,0,0,0.0,0,0,0.0,4013834915381,4014780627961,4014289636753.1104,1317079250259,1317123320343,1317100770044.0286,1414.143,1414.143,1414.143,491859.422,491859.535,491859.4937,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2683.02,2703.45,2694.7982,0.5201,0.524,0.5223,489417.44,490178.88,490006.266,5.0,5.1,5.018
12,run_012_train,v32k_d2048_h16_l12_s4096_b4,train,0,32768,2048,16,12,4096,4,128,670083072,284,301.91,2.9531,9.125,5.2334,76,99,97.1932,24,55,41.0227,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,50,57,53.5852,157.06,425.77,272.3882,400.0,400.0,400.0,39.27,106.44,68.0968,1380,1410,1408.892,1215,1215,1215.0,0,0,0.0,0,0,0.0,4014909529549,4015829269113,4015341371364.4375,1317128212918,1317171425701,1317149152797.2954,1414.143,1414.143,1414.143,491859.535,491859.535,491859.535,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2103.7,2593.75,2365.0486,0.4078,0.5028,0.4585,489612.88,490738.61,490337.3296,4.9,5.1,4.9648
13,run_013_train,v32k_d2048_h16_l6_s4096_b4,train,0,32768,2048,16,6,4096,4,128,368596992,581,301.85,2.1094,6.5625,4.4244,87,99,97.5608,28,55,41.4762,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,51,55,52.5132,147.95,433.78,266.5378,400.0,400.0,400.0,36.99,108.45,66.6347,1395,1410,1409.6032,1215,1215,1215.0,0,0,0.0,0,0,0.0,4015980701279,4016981779973,4016480640171.6562,1317177580193,1317224252726,1317201007511.926,1414.143,1414.143,1414.143,491859.535,491859.648,491859.6136,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2679.73,2688.84,2685.0099,0.5194,0.5212,0.5204,489068.09,490178.67,489975.742,5.0,5.2,5.0249
14,run_014_train,v16k_d1024_h8_l24_s1024_b2,train,0,16384,1024,8,24,1024,2,128,318252032,2726,302.68,1.875,9.3125,4.39,66,99,98.1479,16,55,40.9066,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,55,58,56.4708,169.84,436.64,274.8026,400.0,400.0,400.0,42.46,109.16,68.7009,1380,1410,1408.4825,1215,1215,1215.0,0,0,0.0,0,0,0.0,4017075554090,4018062910186,4017571490831.642,1317228836924,1317276111213,1317252617835.4124,1414.143,1414.143,1414.143,491859.648,491859.648,491859.648,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2220.21,2695.45,2390.1093,0.4304,0.5225,0.4633,489296.73,490635.05,490287.1037,4.9,5.2,4.9556
15,run_015_train,v16k_d512_h8_l6_s4096_b2,train,0,16384,512,8,6,4096,2,64,27229696,5798,302.08,0.793,5.7188,3.2019,87,99,98.2519,27,55,41.6667,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,51,58,53.2907,168.96,434.83,272.3519,400.0,400.0,400.0,42.24,108.71,68.0877,1395,1410,1409.2442,1215,1215,1215.0,0,0,0.0,0,0,0.0,4018200295627,4019199739933,4018687079995.76,1317282078806,1317328070891,1317304416165.2673,1414.143,1414.143,1414.143,491859.648,491859.695,491859.6818,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2294.38,2421.7,2367.2026,0.4447,0.4694,0.4589,489234.23,490497.67,490265.3749,4.9,5.2,4.9616
16,run_016_train,v8k_d512_h8_l6_s1024_b2,train,0,8192,512,8,6,1024,2,64,23035392,14575,301.77,0.8945,5.75,3.3303,86,99,97.4697,27,55,36.2538,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,52,60,56.6553,174.71,444.21,284.991,400.0,400.0,400.0,43.68,111.05,71.2477,1380,1410,1406.5341,1215,1215,1215.0,0,0,0.0,0,0,0.0,4019371939910,4020161917283,4019830419140.1514,1317334869543,1317889476115,1317422252896.053,1414.143,1414.143,1414.143,491859.695,491860.043,491859.8327,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2355.17,2445.45,2419.2289,0.4565,0.474,0.4689,488388.64,502980.38,491207.2771,2.5,5.3,4.7746
17,run_017_train,v8k_d512_h16_l24_s2048_b2,train,0,8192,512,16,24,2048,2,32,79557120,3033,302.6,1.4688,6.4688,4.2375,94,99,96.9807,29,32,31.3822,42152624128,42152624128,42152624128.0,98.14,98.14,98.14,53,60,56.9382,212.95,437.66,300.5039,400.0,400.0,400.0,53.24,109.41,75.1259,1380,1410,1405.1931,1215,1215,1215.0,0,0,0.0,0,0,0.0,4020197188018,4020233904084,4020215200298.749,1317890205213,1317891670126,1317890907364.0771,1414.143,1414.143,1414.143,491860.043,491860.277,491860.1694,124.095,124.095,124.095,44.3,44.3,44.3,89,89,89.0,0.0,0.0,0.0,2341.67,2698.14,2661.0346,0.4539,0.523,0.5158,502699.73,503056.23,502734.2117,2.5,2.6,2.595
